Ticker,Company,GICS Sector,GICS Sub Industries
ANTM,Anthem,Health Care,Managed Health Care
TRV,The Travelers Companies,Financials,Property & Casualty Insurance
CMCSA,Comcast,Communication Services,Cable & Satellite
DGX,Quest Diagnostics,Health Care,Health Care Services
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
NLOK,NortonLifeLock,Information Technology,Application Software
PLD,Prologis,Real Estate,Industrial REITs
BIIB,Biogen,Health Care,Biotechnology
MTB,M&T Bank,Financials,Regional Banks
VTRS,Viatris,Health Care,Pharmaceuticals
